family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,ub_DT,inf_t_DS,inf_t_DT
ST_by_sens,10001,50,3963,0.983849118458966,0.01615088154103345,0.19968344517150544,0.9999999999999994,0.00675927451216095,10.362633927936784,the_dog,11,33.34058966511363,533.9829752447765,189.372,296.847
ST_by_sens,10001,50,3963,0.9540822613469429,0.04591773865305776,0.23181998705861476,1.0000000000000009,0.00675927451216095,10.362633927936784,the_dream,6,42.580066050046206,296.0965873661876,391.138,691.638
ST_by_sens,10001,50,3963,0.9944731834073096,0.00552681659268926,0.34079236779846567,0.9999999999999988,0.00675927451216095,10.362633927936784,the_dust,21,6.857281954436961,943.8002343077732,43.609,68.055
ST_by_sens,10001,50,3963,0.9511869805343312,0.04881301946566646,0.2246694772142812,0.9999999999999976,0.00675927451216095,10.362633927936784,the_ear,6,43.23499136732664,296.4170989269012,423.983,755.443
ST_by_sens,10001,50,3963,0.9915790143148726,0.00842098568512765,0.3418389708783553,1.0000000000000002,0.00675927451216095,10.362633927936784,the_earth_soil,27,13.121435887050138,1246.3692797620895,62.927,97.937
ST_by_sens,10001,50,3963,0.9845088822838064,0.01549111771619319,0.381567144873233,0.9999999999999996,0.00675927451216095,10.362633927936784,the_egg,20,22.014356037055435,947.3603566691108,95.673,153.968
ST_by_sens,10001,50,3963,0.9445729436218544,0.05542705637814722,0.25488116039548897,1.0000000000000016,0.00675927451216095,10.362633927936784,the_eye,6,43.18522498718162,296.3961532191194,413.693,750.927
ST_by_sens,10001,50,3963,0.9893265344482164,0.01067346555178169,0.4452968189386561,0.9999999999999982,0.00675927451216095,10.362633927936784,the_feather,19,12.6139554763304,875.519657398118,59.43,95.367
ST_by_sens,10001,50,3963,0.9719674667980578,0.02803253320194024,0.2700366659226746,0.999999999999998,0.00675927451216095,10.362633927936784,the_fire,9,36.44478624203456,439.44128387793756,223.624,373.79
ST_by_sens,10001,50,3963,0.9745493722988572,0.02545062770114172,0.226252491400926,0.9999999999999988,0.00675927451216095,10.362633927936784,the_fish,8,37.42951518357847,391.30592929906,246.084,405.273
ST_by_sens,10001,50,3963,0.9724335765869212,0.02756642341307703,0.8995091884831413,0.9999999999999982,0.00675927451216095,10.362633927936784,the_flea,13,16.62725969742342,606.9062742931192,66.285,117.305
ST_by_sens,10001,50,3963,0.9600893586182376,0.03991064138176056,1.0037580941018396,0.999999999999998,0.00675927451216095,10.362633927936784,the_flower,21,21.151273371467774,992.6373134721333,80.692,147.493
ST_by_sens,10001,50,3963,0.9899146445707534,0.01008535542924638,0.5759708127024098,0.9999999999999998,0.00675927451216095,10.362633927936784,the_foot,21,7.792923024621603,948.4431593334384,43.772,72.394
ST_by_sens,10001,50,3963,0.9869889883693984,0.01301101163060236,0.9349186274745818,1.0000000000000009,0.00675927451216095,10.362633927936784,the_forest,24,5.027936417720601,1066.6178910687145,33.685,59.452
ST_by_sens,10001,50,3963,0.989516228451074,0.01048377154893007,0.5257565828708656,1.000000000000004,0.00675927451216095,10.362633927936784,the_frog,19,9.654265611907414,865.5026209433561,49.58,81.025
ST_by_sens,10001,50,3963,0.984086592740666,0.01591340725933247,1.2256045689271198,0.9999999999999984,0.00675927451216095,10.362633927936784,the_front_front_side,20,4.332528977258335,884.3015795082903,30.586,56.008
ST_by_sens,10001,50,3963,0.9802840488499658,0.01971595115003257,0.5325803484693761,0.9999999999999984,0.00675927451216095,10.362633927936784,the_fruit,17,20.243604249922683,801.6448763147024,84.287,140.698
ST_by_sens,10001,50,3963,0.9852082704831762,0.01479172951682416,0.4430649719492872,1.0000000000000002,0.00675927451216095,10.362633927936784,the_goat,23,18.44240107378817,1079.3186836573798,79.203,128.444
ST_by_sens,10001,50,3963,0.9800100240358416,0.01998997596416202,0.911132293810412,1.0000000000000036,0.00675927451216095,10.362633927936784,the_grass,26,10.986944273281326,1190.8807591634277,49.907,87.398
ST_by_sens,10001,50,3963,0.9940674514880312,0.00593254851196885,0.3426666573109792,1.0000000000000002,0.00675927451216095,10.362633927936784,the_hail,26,7.700687319874212,1173.6966931220884,46.164,71.95
ST_by_sens,10001,50,3963,0.9864516644932904,0.01354833550671127,0.8316960308270467,1.0000000000000018,0.00675927451216095,10.362633927936784,the_hair_of_the_head,18,6.803722321541661,808.7693391021239,39.187,67.844
ST_by_sens,10001,50,3963,0.9459449154447652,0.05405508455523331,1.1042306559345214,0.9999999999999984,0.00675927451216095,10.362633927936784,the_hand,11,24.619845023561087,524.352557753074,93.698,176.822
ST_by_sens,10001,50,3963,0.988477785220328,0.0115222147796706,0.6306614719464498,0.9999999999999988,0.00675927451216095,10.362633927936784,the_head,21,8.358098815961094,951.0560424602181,44.887,75.006
ST_by_sens,10001,50,3963,0.9640698143727968,0.03593018562720113,0.7835469587317374,0.999999999999998,0.00675927451216095,10.362633927936784,the_heart,18,23.813203685160765,856.3819220220656,94.8,169.254
