age,simulation,node,y,mcc_prob,first_split
11,36,52,FALSE,0.025,52
12,36,59,FALSE,0.075,59
13,36,52,FALSE,0.005,52
14,36,64,FALSE,0.01,64
15,36,52,FALSE,0.005,52
16,36,52,FALSE,0.005,52
17,36,67,FALSE,0.005,67
2,36,52,FALSE,0.495,52
3,36,52,FALSE,0.74,52
4,36,58,TRUE,0.515,58
5,36,52,TRUE,0.675,52
6,36,58,TRUE,0.595,58
7,36,88,FALSE,0.115,88
8,36,60,TRUE,0.47,60
9,36,61,FALSE,0.21,61
1,37,52,TRUE,1,52
10,37,52,FALSE,0.02,52
11,37,52,TRUE,0.375,52
12,37,52,FALSE,0.02,52
13,37,52,FALSE,0.005,52
14,37,52,FALSE,0.005,52
15,37,83,FALSE,0.005,83
16,37,52,FALSE,0.005,52
17,37,52,FALSE,0.005,52
2,37,52,TRUE,0.975,52
3,37,52,TRUE,0.99,52
4,37,58,TRUE,0.99,58
5,37,52,TRUE,0.945,52
6,37,58,TRUE,0.995,58
7,37,58,TRUE,0.99,58
8,37,52,TRUE,0.615,52
9,37,58,TRUE,0.485,58
1,38,52,TRUE,1,52
10,38,52,FALSE,0.03,52
11,38,52,FALSE,NA,52
12,38,52,FALSE,0.01,52
13,38,59,FALSE,0.005,59
14,38,64,FALSE,0.005,64
15,38,52,FALSE,NA,52
16,38,52,FALSE,0.005,52
17,38,52,FALSE,0.005,52
2,38,52,TRUE,0.915,52
3,38,58,TRUE,1,58
4,38,52,FALSE,0.115,52
5,38,58,TRUE,0.995,58
6,38,52,FALSE,0.6,52
7,38,52,TRUE,0.61,52
8,38,52,TRUE,0.235,52
9,38,52,FALSE,0.02,52
1,39,58,TRUE,1,58
10,39,52,FALSE,NA,52
11,39,53,FALSE,0.16,53
12,39,57,FALSE,0.005,57
13,39,52,FALSE,0.005,52
14,39,52,FALSE,0.015,52
15,39,52,FALSE,0.005,52
16,39,88,FALSE,0.005,88
17,39,52,FALSE,0.005,52
2,39,58,TRUE,1,58
