"node";"tree_age";"tree_simulation_number";"prob"
83;11;43;0
83;12;43;0
83;13;43;0
83;14;43;0
83;15;43;0
83;16;43;0
83;17;43;0
83;2;43;0,135
83;3;43;0,005
83;4;43;0,1
83;5;43;0,02
83;6;43;0
83;7;43;0
83;8;43;0
83;9;43;0
52;1;44;0,04
52;10;44;0
52;11;44;0
52;12;44;0
52;13;44;0
52;14;44;0
52;15;44;0
52;16;44;0
52;17;44;0
52;2;44;0,495
52;3;44;0,065
52;4;44;0,79
52;5;44;0
52;6;44;0
52;7;44;0
52;8;44;0
52;9;44;0
62;1;45;0,95
62;10;45;0
62;11;45;0
62;12;45;0
62;13;45;0
62;14;45;0
62;15;45;0
62;16;45;0
62;17;45;0
62;2;45;0,775
62;3;45;0,64
62;4;45;0,335
62;5;45;0,16
62;6;45;0,015
62;7;45;0
62;8;45;0
62;9;45;0
80;1;46;0,515
80;10;46;0
80;11;46;0
80;12;46;0
80;13;46;0
80;14;46;0
80;15;46;0
80;16;46;0
80;17;46;0
80;2;46;0,395
80;3;46;0,46
80;4;46;0,12
80;5;46;0,36
80;6;46;0
80;7;46;0
80;8;46;0
80;9;46;0
60;1;47;1
60;10;47;0
60;11;47;0
60;12;47;0
60;13;47;0
60;14;47;0
60;15;47;0
60;16;47;0
60;17;47;0
60;2;47;1
60;3;47;1
60;4;47;1
60;5;47;0,855
60;6;47;0,09
60;7;47;0,085
60;8;47;0,01
60;9;47;0
71;1;48;0,54
71;10;48;0
71;11;48;0
71;12;48;0
71;13;48;0
71;14;48;0
71;15;48;0
71;16;48;0
71;17;48;0
71;2;48;0,97
71;3;48;0,45
71;4;48;0,055
71;5;48;0,025
71;6;48;0
71;7;48;0
71;8;48;0,1
71;9;48;0
53;1;49;1
53;10;49;0,205
53;11;49;0,045
53;12;49;0,015
53;13;49;0,005
53;14;49;0
53;15;49;0
53;16;49;0,025
53;17;49;0,005
53;2;49;1
53;3;49;0,965
53;4;49;0,98
53;5;49;0,335
53;6;49;0,735
53;7;49;0,155
53;8;49;0,07
53;9;49;0,005
52;1;5;0,96
52;10;5;0
52;11;5;0
52;12;5;0
52;13;5;0
52;14;5;0
52;15;5;0
52;16;5;0
52;17;5;0
52;2;5;0,085
52;3;5;0,78
52;4;5;0,48
52;5;5;0,11
52;6;5;0,255
52;7;5;0,02
52;8;5;0
52;9;5;0
59;1;50;0,965
59;10;50;0
59;11;50;0
59;12;50;0
59;13;50;0
59;14;50;0
59;15;50;0
59;16;50;0
59;17;50;0
59;2;50;1
59;3;50;0
59;4;50;0,11
59;5;50;0
59;6;50;0
59;7;50;0,005
59;8;50;0
59;9;50;0
52;1;6;1
52;10;6;0
52;11;6;0
52;12;6;0
52;13;6;0
52;14;6;0
52;15;6;0
52;16;6;0
52;17;6;0
52;2;6;1
52;3;6;0,89
52;4;6;0
52;5;6;0,21
52;6;6;0
52;7;6;0
52;8;6;0
52;9;6;0
52;1;7;0,755
52;10;7;0
52;11;7;0
52;12;7;0
52;13;7;0
52;14;7;0
52;15;7;0
52;16;7;0
52;17;7;0
52;2;7;0,91
52;3;7;0,36
52;4;7;0,51
52;5;7;0,645
52;6;7;0,22
52;7;7;0
52;8;7;0,01
52;9;7;0,005
70;1;8;0,995
70;10;8;0
70;11;8;0
70;12;8;0
70;13;8;0
70;14;8;0
70;15;8;0
70;16;8;0
70;17;8;0
70;2;8;0,945
70;3;8;0,375
70;4;8;0,145
70;5;8;0
70;6;8;0
70;7;8;0
70;8;8;0
70;9;8;0
52;1;9;0,02
52;10;9;0
52;11;9;0
52;12;9;0
52;13;9;0
52;14;9;0
52;15;9;0
52;16;9;0
52;17;9;0
52;2;9;0,065
52;3;9;0,785
52;4;9;0
52;5;9;0,01
52;6;9;0
52;7;9;0
52;8;9;0
52;9;9;0
