trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form,mean_root_age
2865,nose,2.543,2355,8.07,0.315,24,0.083,NA,8.213838621645293
2866,nose,2.606,620,8.07,0.323,24,0.083,NA,8.213838621645293
2867,nose,2.752,445,8.07,0.341,24,0.083,NA,8.213838621645293
2870,nose,2.664,3319,8.07,0.33,24,0.083,NA,8.213838621645293
2871,nose,0.86,2354,8.07,0.107,24,0.083,NA,8.213838621645293
2872,nose,1.136,2159,8.07,0.141,24,0.083,NA,8.213838621645293
2873,nose,0.757,722,8.07,0.094,24,0.083,NA,8.213838621645293
2884,old,8.201,622,8.201,1,27,0.077,*sen-,8.213838621645293
2885,old,7.241,913,8.201,0.883,27,0.077,*u̯et-,8.213838621645293
2886,old,7.974,2825,8.201,0.972,27,0.077,*g̑erh₂-,8.213838621645293
2887,old,2.745,1158,8.201,0.335,27,0.077,*steh₂-,8.213838621645293
2888,old,4.382,5064,8.201,0.534,27,0.077,*(s)kep-,8.213838621645293
2889,old,3.537,268,8.201,0.431,27,0.077,*h₂el-,8.213838621645293
2890,old,6.373,2826,8.201,0.777,27,0.077,*perh₂-,8.213838621645293
2891,old,5.306,1517,8.201,0.647,27,0.077,*pelh₂-,8.213838621645293
2892,old,2.611,1322,8.201,0.318,27,0.077,NA,8.213838621645293
2893,old,1.98,1038,8.201,0.241,27,0.077,NA,8.213838621645293
2894,old,2.752,5649,8.201,0.336,27,0.077,NA,8.213838621645293
2895,old,0.441,6601,8.201,0.054,27,0.077,NA,8.213838621645293
2896,old,2.664,2824,8.201,0.325,27,0.077,NA,8.213838621645293
2911,one,8.054,91,8.054,1,7,0.333,*Hoi̯-,8.213838621645293
2912,one,7.991,6066,8.054,0.992,7,0.333,*sem-,8.213838621645293
2913,one,2.752,447,8.054,0.342,7,0.333,NA,8.213838621645293
2918,play,5.794,6784,6.113,0.948,39,0,*mers-,8.213838621645293
2919,play,2.745,1161,6.113,0.449,39,0,NA,8.213838621645293
2920,play,4.988,916,6.113,0.816,39,0,*i̯ek-,8.213838621645293
2921,play,6.113,802,6.113,1,39,0,NA,8.213838621645293
2922,play,4.321,94,6.113,0.707,39,0,NA,8.213838621645293
2923,play,5.306,1519,6.113,0.868,39,0,*peh₂u̯-,8.213838621645293
2924,play,1.775,270,6.113,0.29,39,0,NA,8.213838621645293
2925,play,2.957,1040,6.113,0.484,39,0,*rei̯⁽g̑⁾-,8.213838621645293
2926,play,2.611,2833,6.113,0.427,39,0,*lei̯⁽g̑⁾-,8.213838621645293
2927,play,2.09,9237,6.113,0.342,39,0,NA,8.213838621645293
2928,play,2.752,5658,6.113,0.45,39,0,NA,8.213838621645293
2929,play,2.606,626,6.113,0.426,39,0,NA,8.213838621645293
2930,play,4.37,9387,6.113,0.715,39,0,?*stei̯g-,8.213838621645293
2931,play,4.081,4398,6.113,0.667,39,0,NA,8.213838621645293
2932,play,1.813,4351,6.113,0.297,39,0,NA,8.213838621645293
2933,play,0.757,3271,6.113,0.124,39,0,NA,8.213838621645293
2934,play,2.312,1730,6.113,0.378,39,0,*bʰer-,8.213838621645293
2935,play,2.299,1354,6.113,0.376,39,0,NA,8.213838621645293
2957,pull,7.211,95,7.211,1,38,0.091,*kʷels-,8.213838621645293
2958,pull,5.225,2837,7.211,0.725,38,0.091,*tengʰ-,8.213838621645293
2959,pull,3.56,1372,7.211,0.494,38,0.091,*deu̯k-,8.213838621645293
2960,pull,2.742,5274,7.211,0.38,38,0.091,*(h₂)u̯elk-,8.213838621645293
2961,pull,3.666,4163,7.211,0.508,38,0.091,*ten-,8.213838621645293
2962,pull,2.923,451,7.211,0.405,38,0.091,*selk-,8.213838621645293
2963,pull,3.382,1267,7.211,0.469,38,0.091,NA,8.213838621645293
2964,pull,2.611,2839,7.211,0.362,38,0.091,*dʰre⁽g̑⁾ʰ-,8.213838621645293
2965,pull,3.177,2834,7.211,0.441,38,0.091,*tau̯ro-,8.213838621645293
2966,pull,2.957,1041,7.211,0.41,38,0.091,NA,8.213838621645293
2967,pull,2.036,803,7.211,0.282,38,0.091,NA,8.213838621645293
2968,pull,5.004,8237,7.211,0.694,38,0.091,NA,8.213838621645293
2969,pull,2.776,1731,7.211,0.385,38,0.091,NA,8.213838621645293
2970,pull,3.881,7050,7.211,0.538,38,0.091,NA,8.213838621645293
2971,pull,2.606,627,7.211,0.361,38,0.091,NA,8.213838621645293
2972,pull,1.054,271,7.211,0.146,38,0.091,NA,8.213838621645293
2973,pull,0.77,8288,7.211,0.107,38,0.091,NA,8.213838621645293
2974,pull,5.347,7429,7.211,0.742,38,0.091,NA,8.213838621645293
2975,pull,3.074,6013,7.211,0.426,38,0.091,*tu̯er-,8.213838621645293
2976,pull,0.757,3260,7.211,0.105,38,0.091,*h₂nek̑-,8.213838621645293
2977,pull,0.772,1095,7.211,0.107,38,0.091,NA,8.213838621645293
2978,pull,0.302,917,7.211,0.042,38,0.091,*pelh₂-,8.213838621645293
2995,push,5.848,804,5.873,0.996,72,0.033,NA,8.213838621645293
2996,push,4.349,1339,5.873,0.741,72,0.033,?*skeu̯bʰ-,8.213838621645293
2997,push,2.728,1205,5.873,0.464,72,0.033,?*telk-,8.213838621645293
2998,push,3.517,7961,5.873,0.599,72,0.033,NA,8.213838621645293
2999,push,4.988,6703,5.873,0.849,72,0.033,*peh₂g̑-,8.213838621645293
3000,push,5.873,2846,5.873,1,72,0.033,NA,8.213838621645293
3001,push,2.93,1399,5.873,0.499,72,0.033,*pelh₂-,8.213838621645293
3002,push,1.984,1237,5.873,0.338,72,0.033,*pei̯s-,8.213838621645293
3003,push,5.306,2843,5.873,0.904,72,0.033,*u̯edʰ(h₁)-,8.213838621645293
3004,push,3.506,9197,5.873,0.597,72,0.033,NA,8.213838621645293
3005,push,2.428,5830,5.873,0.413,72,0.033,*h₂ek̑-,8.213838621645293
3006,push,5.658,3285,5.873,0.963,72,0.033,NA,8.213838621645293
3007,push,1.099,9195,5.873,0.187,72,0.033,NA,8.213838621645293
3008,push,0.566,8253,5.873,0.096,72,0.033,*tu̯enk-,8.213838621645293
3009,push,0.225,7759,5.873,0.038,72,0.033,*teu̯k-,8.213838621645293
3010,push,0.445,7419,5.873,0.076,72,0.033,NA,8.213838621645293
3011,push,0.849,7013,5.873,0.145,72,0.033,NA,8.213838621645293
3012,push,2.664,5812,5.873,0.454,72,0.033,NA,8.213838621645293
3013,push,4.081,5811,5.873,0.695,72,0.033,NA,8.213838621645293
3014,push,1.168,5665,5.873,0.199,72,0.033,NA,8.213838621645293
3015,push,1.67,4867,5.873,0.284,72,0.033,*h₃rei̯H-,8.213838621645293
3016,push,0.117,4207,5.873,0.02,72,0.033,NA,8.213838621645293
3017,push,2.122,2849,5.873,0.361,72,0.033,NA,8.213838621645293
3018,push,0.77,2842,5.873,0.131,72,0.033,*(s)teu̯d-,8.213838621645293
3019,push,0.868,2841,5.873,0.148,72,0.033,*gʰreu̯d-,8.213838621645293
3020,push,1.136,2161,5.873,0.193,72,0.033,NA,8.213838621645293
3021,push,1.152,1268,5.873,0.196,72,0.033,*pei̯g-,8.213838621645293
3022,push,2.174,1042,5.873,0.37,72,0.033,NA,8.213838621645293
3023,push,0.302,918,5.873,0.051,72,0.033,NA,8.213838621645293
3024,push,1.108,628,5.873,0.189,72,0.033,*per-,8.213838621645293
3067,rain,8.004,2236,8.004,1,31,0.077,*sh₂eu̯-,8.213838621645293
3069,rain,6.592,7433,8.004,0.824,31,0.077,*h₂u̯ers-,8.213838621645293
3070,rain,6.379,5084,8.004,0.797,31,0.077,*u̯eh₁-,8.213838621645293
3071,rain,4.349,273,8.004,0.543,31,0.077,NA,8.213838621645293
3072,rain,2.745,1206,8.004,0.343,31,0.077,*dei̯-,8.213838621645293
3073,rain,5.004,919,8.004,0.625,31,0.077,*pleu̯-,8.213838621645293
3074,rain,2.957,1043,8.004,0.369,31,0.077,NA,8.213838621645293
3075,rain,3.177,1522,8.004,0.397,31,0.077,NA,8.213838621645293
3076,rain,0.441,3833,8.004,0.055,31,0.077,NA,8.213838621645293
3077,rain,2.916,1870,8.004,0.364,31,0.077,*lei̯H-,8.213838621645293
3078,rain,2.606,629,8.004,0.326,31,0.077,NA,8.213838621645293
3079,rain,0.757,7008,8.004,0.095,31,0.077,NA,8.213838621645293
3080,rain,2.826,5912,8.004,0.353,31,0.077,*neu̯-,8.213838621645293
3098,red,8.214,6592,8.214,1,31,0.083,*(h₁)reu̯dʰ-,8.213838621645293
3101,red,2.745,1163,8.214,0.334,31,0.083,*kʷr̥mi-,8.213838621645293
3102,red,6.489,98,8.214,0.79,31,0.083,NA,8.213838621645293
3103,red,2.176,8254,8.214,0.265,31,0.083,*u̯r̥mi-,8.213838621645293
3104,red,2.387,1523,8.214,0.291,31,0.083,NA,8.213838621645293
3105,red,2.776,1734,8.214,0.338,31,0.083,*dʰerg-,8.213838621645293
3106,red,1.58,4370,8.214,0.192,31,0.083,NA,8.213838621645293
3107,red,0.441,3832,8.214,0.054,31,0.083,*g̑ʰelh₃-,8.213838621645293
3108,red,2.606,630,8.214,0.317,31,0.083,NA,8.213838621645293
3109,red,2.752,454,8.214,0.335,31,0.083,NA,8.213838621645293
