"node","p_node","node_parent","p_parent","tree","trait"
278,0.05,"water",277,0.222,132,4700
279,0.033,"water",277,0.222,132,4700
280,0.009,"water",279,0.033,132,4700
281,0.001,"water",280,0.009,132,4700
282,0.001,"water",281,0.001,132,4700
283,0,"water",282,0.001,132,4700
284,0,"water",283,0,132,4700
285,1,"water",272,1,132,4700
286,1,"water",285,1,132,4700
287,0.998,"water",286,1,132,4700
288,1,"water",269,1,132,4700
289,1,"water",288,1,132,4700
290,1,"water",289,1,132,4700
291,1,"water",290,1,132,4700
292,1,"water",291,1,132,4700
293,0.999,"water",268,0.999,132,4700
294,1,"water",293,0.999,132,4700
295,1,"water",294,1,132,4700
296,1,"water",295,1,132,4700
297,1,"water",296,1,132,4700
298,1,"water",297,1,132,4700
299,1,"water",298,1,132,4700
300,1,"water",299,1,132,4700
301,1,"water",300,1,132,4700
302,1,"water",299,1,132,4700
303,1,"water",302,1,132,4700
304,1,"water",303,1,132,4700
305,1,"water",304,1,132,4700
306,1,"water",305,1,132,4700
307,1,"water",306,1,132,4700
308,1,"water",307,1,132,4700
309,1,"water",307,1,132,4700
310,1,"water",306,1,132,4700
311,1,"water",310,1,132,4700
312,1,"water",303,1,132,4700
313,1,"water",312,1,132,4700
314,1,"water",312,1,132,4700
315,1,"water",296,1,132,4700
316,1,"water",315,1,132,4700
317,1,"water",316,1,132,4700
318,0.996,"water",294,1,132,4700
319,0.011,"water",293,0.999,132,4700
"Hittite",0,"water",166,0.012,132,4700
"Luvian",0,"water",166,0.012,132,4700
"TocharianA",0,"water",167,0.003,132,4700
"TocharianB",0,"water",167,0.003,132,4700
"MycenaeanGreek",0,"water",172,0.001,132,4700
"AncientGreek",0,"water",173,0,132,4700
"NTGreek",0,"water",173,0,132,4700
"Greek",0,"water",177,0,132,4700
"GreekCappodocian",0,"water",174,0.004,132,4700
"GreekPontic",0,"water",176,0,132,4700
"GreekCypriot",0,"water",178,0,132,4700
"GreekItaliot",0,"water",175,0.001,132,4700
"TsakonianPeloponnese",0,"water",179,0,132,4700
"TsakonianPropontis",0,"water",179,0,132,4700
"ClassicalArmenian",0,"water",180,0.002,132,4700
"ArmenianEastern",0,"water",181,0,132,4700
"ArmenianWestern",0,"water",181,0,132,4700
"AlbanianGheg",0,"water",169,0.001,132,4700
"AlbanianStandard",0,"water",169,0.001,132,4700
"AlbanianArberesh",0,"water",168,0.009,132,4700
"VedicEarly",1,"water",275,1,132,4700
"Pali",1,"water",275,1,132,4700
"Sinhalese",0,"water",274,0.999,132,4700
"Assamese",0,"water",278,0.05,132,4700
"Bengali",0,"water",278,0.05,132,4700
"Maithili",0,"water",280,0.009,132,4700
"Magahi",0,"water",281,0.001,132,4700
"Bhojpuri",0,"water",282,0.001,132,4700
"Hindi",0,"water",283,0,132,4700
"Urdu",0,"water",284,0,132,4700
"Nepali",0,"water",279,0.033,132,4700
"Punjabi",0,"water",284,0,132,4700
"Marathi",0,"water",276,0.447,132,4700
"Kashmiri",1,"water",285,1,132,4700
"Palula",0,"water",287,0.998,132,4700
"Gawri",1,"water",287,0.998,132,4700
"Gawarbati",1,"water",286,1,132,4700
"PashaiNorthWest",0,"water",271,1,132,4700
"Khowar",1,"water",270,1,132,4700
"Kamviri",1,"water",291,1,132,4700
"KatavariEastern",1,"water",292,1,132,4700
"KatavariKtivi",1,"water",292,1,132,4700
"KalasalaNiseigram",1,"water",289,1,132,4700
"SanuviriWama",1,"water",290,1,132,4700
"VasiVariPaski",1,"water",288,1,132,4700
"AvestanYounger",1,"water",297,1,132,4700
"Khwarazmian",0,"water",316,1,132,4700
"Sogdian",1,"water",317,1,132,4700
"Khotanese",1,"water",317,1,132,4700
"Pashto",1,"water",295,1,132,4700
"Wakhi",1,"water",318,0.996,132,4700
"Sarikoli",0,"water",318,0.996,132,4700
"Yaghnobi",1,"water",315,1,132,4700
"Bactrian",1,"water",298,1,132,4700
"Parthian",1,"water",300,1,132,4700
"OldPersian",1,"water",301,1,132,4700
"MiddlePersian",1,"water",301,1,132,4700
"PersianTehran",1,"water",308,1,132,4700
"Tati",1,"water",311,1,132,4700
"Mazanderani",1,"water",310,1,132,4700
"Bakhtiari",1,"water",308,1,132,4700
"RajiBarzoki",1,"water",311,1,132,4700
"Delvari",1,"water",309,1,132,4700
"Lari",1,"water",309,1,132,4700
"BalochiSistani",1,"water",305,1,132,4700
"Kumzari",1,"water",304,1,132,4700
"KurdishNBahdini",1,"water",302,1,132,4700
"KurdishCJafi",1,"water",313,1,132,4700
"KurdishSElami",1,"water",314,1,132,4700
"KurdishSQorveh",1,"water",314,1,132,4700
"Hawrami",1,"water",313,1,132,4700
"OsseticIron",0,"water",319,0.011,132,4700
"OsseticDigor",0,"water",319,0.011,132,4700
"Latvian",0,"water",186,0,132,4700
"Latgalian",0,"water",186,0,132,4700
