"tree_age","tree_simulation_number","node","state","T_F_U"
4,1,51,"regular",TRUE
4,1,52,"regular",TRUE
4,1,53,"regular",TRUE
4,1,54,"regular",TRUE
4,1,55,"regular",TRUE
4,1,56,"regular",TRUE
4,1,57,"regular",TRUE
4,1,58,"regular",TRUE
4,1,59,"regular",TRUE
4,1,60,"regular",FALSE
4,1,61,"rateau",TRUE
4,1,62,"rateau",TRUE
4,1,63,"rateau",FALSE
4,1,64,"rateau",FALSE
4,1,65,"rateau",FALSE
4,1,66,"regular",TRUE
4,1,67,"regular",TRUE
4,1,68,"regular",TRUE
4,1,69,"regular",TRUE
4,1,70,"rateau",FALSE
4,1,71,"rateau",FALSE
4,1,72,"regular",TRUE
4,1,73,"regular",TRUE
4,1,74,"regular",TRUE
4,1,75,"regular",TRUE
4,1,76,"regular",TRUE
4,1,77,"regular",TRUE
4,1,78,"regular",TRUE
4,1,79,"regular",TRUE
4,1,80,"regular",TRUE
4,1,81,"regular",TRUE
4,1,82,"regular",TRUE
4,1,83,"regular",TRUE
4,1,84,"regular",TRUE
4,1,85,"regular",TRUE
4,1,86,"regular",TRUE
4,1,87,"regular",TRUE
4,1,88,"regular",TRUE
4,1,89,"regular",TRUE
4,1,90,"regular",FALSE
4,1,91,"regular",TRUE
4,1,92,"rateau",FALSE
4,1,93,"rateau",TRUE
4,1,94,"rateau",TRUE
4,1,95,"regular",TRUE
4,1,96,"regular",TRUE
4,1,97,"regular",FALSE
4,1,98,"regular",TRUE
4,1,99,"regular",TRUE
5,1,51,"regular",TRUE
5,1,52,"regular",TRUE
5,1,53,"rateau",TRUE
5,1,54,"regular",TRUE
5,1,55,"rateau",TRUE
5,1,56,"regular",TRUE
5,1,57,"regular",TRUE
5,1,58,"rateau",TRUE
5,1,59,"regular",TRUE
5,1,60,"regular",TRUE
5,1,61,"rateau",TRUE
5,1,62,"rateau",TRUE
5,1,63,"rateau",TRUE
5,1,64,"rateau",TRUE
5,1,65,"rateau",TRUE
5,1,66,"regular",TRUE
5,1,67,"regular",TRUE
5,1,68,"regular",TRUE
5,1,69,"regular",TRUE
5,1,70,"rateau",TRUE
5,1,71,"rateau",TRUE
5,1,72,"regular",TRUE
5,1,73,"regular",TRUE
5,1,74,"regular",TRUE
5,1,75,"regular",TRUE
5,1,76,"regular",TRUE
5,1,77,"regular",TRUE
5,1,78,"regular",TRUE
5,1,79,"regular",TRUE
5,1,80,"regular",TRUE
5,1,81,"regular",TRUE
5,1,82,"regular",TRUE
5,1,83,"regular",TRUE
5,1,84,"regular",TRUE
5,1,85,"regular",TRUE
5,1,86,"regular",TRUE
5,1,87,"regular",TRUE
5,1,88,"regular",TRUE
5,1,89,"regular",FALSE
5,1,90,"regular",FALSE
5,1,91,"regular",TRUE
5,1,92,"regular",TRUE
5,1,93,"regular",TRUE
5,1,94,"regular",TRUE
5,1,95,"regular",TRUE
5,1,96,"regular",TRUE
5,1,97,"regular",TRUE
5,1,98,"rateau",TRUE
5,1,99,"regular",TRUE
6,1,51,"rateau",TRUE
6,1,52,"regular",TRUE
6,1,53,"regular",TRUE
6,1,54,"regular",TRUE
6,1,55,"regular",TRUE
6,1,56,"regular",TRUE
6,1,57,"regular",TRUE
6,1,58,"rateau",TRUE
6,1,59,"regular",TRUE
6,1,60,"regular",FALSE
6,1,61,"rateau",TRUE
6,1,62,"rateau",TRUE
6,1,63,"rateau",TRUE
6,1,64,"rateau",TRUE
6,1,65,"rateau",FALSE
6,1,66,"regular",TRUE
6,1,67,"regular",TRUE
6,1,68,"rateau",TRUE
6,1,69,"regular",TRUE
6,1,70,"rateau",TRUE
6,1,71,"rateau",TRUE
6,1,72,"rateau",TRUE
6,1,73,"regular",TRUE
6,1,74,"regular",TRUE
6,1,75,"regular",TRUE
6,1,76,"regular",TRUE
6,1,77,"regular",TRUE
6,1,78,"regular",TRUE
6,1,79,"regular",TRUE
6,1,80,"regular",TRUE
6,1,81,"regular",TRUE
6,1,82,"regular",TRUE
6,1,83,"regular",TRUE
6,1,84,"regular",TRUE
6,1,85,"regular",TRUE
6,1,86,"regular",TRUE
6,1,87,"regular",TRUE
6,1,88,"regular",TRUE
6,1,89,"regular",FALSE
6,1,90,"regular",TRUE
6,1,91,"regular",TRUE
6,1,92,"rateau",TRUE
6,1,93,"regular",TRUE
6,1,94,"regular",TRUE
6,1,95,"regular",TRUE
6,1,96,"regular",TRUE
6,1,97,"regular",TRUE
6,1,98,"rateau",TRUE
6,1,99,"regular",TRUE
7,1,51,"regular",TRUE
7,1,52,"regular",TRUE
7,1,53,"regular",TRUE
7,1,54,"regular",TRUE
7,1,55,"regular",FALSE
7,1,56,"regular",TRUE
7,1,57,"regular",TRUE
7,1,58,"rateau",TRUE
7,1,59,"rateau",TRUE
7,1,60,"rateau",TRUE
7,1,61,"rateau",TRUE
7,1,62,"rateau",TRUE
7,1,63,"rateau",TRUE
7,1,64,"rateau",TRUE
7,1,65,"rateau",TRUE
7,1,66,"regular",TRUE
7,1,67,"regular",TRUE
7,1,68,"rateau",TRUE
7,1,69,"regular",TRUE
7,1,70,"rateau",TRUE
7,1,71,"rateau",TRUE
7,1,72,"rateau",TRUE
7,1,73,"regular",TRUE
7,1,74,"regular",TRUE
7,1,75,"regular",TRUE
7,1,76,"regular",FALSE
7,1,77,"regular",TRUE
7,1,78,"regular",TRUE
7,1,79,"regular",TRUE
7,1,80,"regular",TRUE
7,1,81,"regular",TRUE
7,1,82,"regular",TRUE
7,1,83,"rateau",TRUE
7,1,84,"rateau",TRUE
7,1,85,"regular",TRUE
7,1,86,"regular",TRUE
7,1,87,"regular",TRUE
7,1,88,"regular",TRUE
7,1,89,"rateau",TRUE
7,1,90,"rateau",TRUE
7,1,91,"regular",TRUE
7,1,92,"regular",TRUE
7,1,93,"regular",TRUE
7,1,94,"regular",FALSE
7,1,95,"regular",TRUE
7,1,96,"regular",TRUE
7,1,97,"regular",TRUE
7,1,98,"rateau",TRUE
7,1,99,"regular",TRUE
8,1,51,"rateau",TRUE
8,1,52,"regular",TRUE
8,1,53,"regular",TRUE
8,1,54,"regular",TRUE
8,1,55,"regular",TRUE
8,1,56,"regular",TRUE
8,1,57,"regular",TRUE
8,1,58,"rateau",TRUE
8,1,59,"rateau",TRUE
8,1,60,"rateau",FALSE
8,1,61,"rateau",TRUE
8,1,62,"rateau",TRUE
8,1,63,"rateau",TRUE
8,1,64,"rateau",TRUE
8,1,65,"rateau",FALSE
8,1,66,"rateau",TRUE
8,1,67,"regular",TRUE
8,1,68,"rateau",TRUE
8,1,69,"regular",TRUE
8,1,70,"rateau",TRUE
8,1,71,"rateau",TRUE
8,1,72,"rateau",TRUE
8,1,73,"rateau",TRUE
8,1,74,"regular",TRUE
8,1,75,"regular",TRUE
8,1,76,"regular",TRUE
8,1,77,"regular",TRUE
8,1,78,"rateau",TRUE
8,1,79,"regular",TRUE
8,1,80,"regular",TRUE
8,1,81,"regular",TRUE
8,1,82,"regular",TRUE
8,1,83,"rateau",TRUE
8,1,84,"rateau",TRUE
8,1,85,"regular",TRUE
8,1,86,"regular",TRUE
8,1,87,"rateau",TRUE
8,1,88,"rateau",TRUE
8,1,89,"rateau",TRUE
8,1,90,"regular",TRUE
8,1,91,"regular",TRUE
8,1,92,"rateau",TRUE
8,1,93,"rateau",TRUE
8,1,94,"rateau",TRUE
8,1,95,"rateau",TRUE
8,1,96,"regular",TRUE
8,1,97,"regular",TRUE
8,1,98,"rateau",TRUE
8,1,99,"regular",TRUE
9,1,51,"regular",TRUE
9,1,52,"regular",TRUE
9,1,53,"regular",TRUE
9,1,54,"regular",TRUE
9,1,55,"regular",FALSE
9,1,56,"regular",TRUE
9,1,57,"regular",TRUE
9,1,58,"rateau",TRUE
9,1,59,"rateau",TRUE
9,1,60,"rateau",TRUE
9,1,61,"rateau",TRUE
9,1,62,"rateau",TRUE
9,1,63,"rateau",TRUE
9,1,64,"rateau",TRUE
9,1,65,"rateau",TRUE
9,1,66,"regular",TRUE
9,1,67,"regular",TRUE
9,1,68,"rateau",TRUE
9,1,69,"regular",TRUE
9,1,70,"rateau",TRUE
9,1,71,"rateau",TRUE
9,1,72,"rateau",TRUE
9,1,73,"rateau",TRUE
9,1,74,"regular",TRUE
9,1,75,"rateau",TRUE
9,1,76,"rateau",TRUE
9,1,77,"regular",TRUE
9,1,78,"regular",TRUE
9,1,79,"regular",TRUE
9,1,80,"regular",TRUE
9,1,81,"regular",TRUE
9,1,82,"regular",TRUE
9,1,83,"rateau",TRUE
9,1,84,"rateau",TRUE
9,1,85,"regular",TRUE
9,1,86,"regular",TRUE
9,1,87,"regular",TRUE
9,1,88,"rateau",TRUE
9,1,89,"rateau",TRUE
9,1,90,"regular",TRUE
9,1,91,"regular",TRUE
9,1,92,"rateau",TRUE
9,1,93,"rateau",TRUE
9,1,94,"rateau",FALSE
9,1,95,"regular",TRUE
9,1,96,"regular",TRUE
9,1,97,"regular",FALSE
9,1,98,"rateau",TRUE
9,1,99,"regular",TRUE
1,10,51,"regular",TRUE
1,10,52,"regular",TRUE
1,10,53,"regular",TRUE
1,10,54,"regular",TRUE
1,10,55,"regular",TRUE
1,10,56,"regular",TRUE
1,10,57,"regular",TRUE
1,10,58,"regular",TRUE
1,10,59,"regular",TRUE
1,10,60,"regular",TRUE
1,10,61,"rateau",TRUE
1,10,62,"rateau",FALSE
1,10,63,"rateau",TRUE
1,10,64,"regular",TRUE
1,10,65,"regular",TRUE
1,10,66,"regular",TRUE
1,10,67,"regular",TRUE
1,10,68,"regular",TRUE
1,10,69,"regular",TRUE
1,10,70,"regular",TRUE
1,10,71,"regular",TRUE
1,10,72,"rateau",TRUE
1,10,73,"regular",TRUE
1,10,74,"regular",TRUE
1,10,75,"regular",TRUE
1,10,76,"regular",TRUE
1,10,77,"regular",TRUE
1,10,78,"regular",TRUE
1,10,79,"regular",TRUE
1,10,80,"regular",TRUE
1,10,81,"regular",TRUE
1,10,82,"regular",TRUE
1,10,83,"regular",TRUE
1,10,84,"regular",TRUE
1,10,85,"regular",TRUE
1,10,86,"regular",TRUE
1,10,87,"regular",TRUE
1,10,88,"regular",TRUE
1,10,89,"regular",TRUE
1,10,90,"regular",TRUE
1,10,91,"regular",TRUE
1,10,92,"regular",TRUE
1,10,93,"regular",TRUE
1,10,94,"regular",TRUE
1,10,95,"rateau",FALSE
1,10,96,"rateau",FALSE
1,10,97,"rateau",FALSE
1,10,98,"regular",TRUE
1,10,99,"regular",TRUE
10,10,51,"rateau",TRUE
10,10,52,"regular",TRUE
10,10,53,"regular",TRUE
10,10,54,"regular",TRUE
10,10,55,"regular",TRUE
10,10,56,"regular",TRUE
10,10,57,"regular",TRUE
10,10,58,"rateau",TRUE
10,10,59,"rateau",TRUE
10,10,60,"rateau",TRUE
10,10,61,"rateau",TRUE
10,10,62,"rateau",FALSE
10,10,63,"rateau",TRUE
10,10,64,"rateau",TRUE
10,10,65,"rateau",TRUE
10,10,66,"regular",TRUE
10,10,67,"regular",TRUE
10,10,68,"regular",TRUE
