"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
3,16,52,65,0.995,0.995
2,3,52,52,0.56,0.56
16,25,57,52,0.975,0.005
16,48,52,52,0.635,0.005
11,20,52,52,0.565,0.005
3,43,52,52,0.59,0.495
2,7,86,52,0.91,0.91
17,48,60,52,0.615,0.005
4,43,78,52,0.67,0.255
4,34,52,65,0.61,0.375
17,39,63,52,1,0.005
12,20,52,52,0.835,0.005
4,16,52,52,0.975,0.975
5,11,65,52,0.52,0.08
3,7,84,52,0.715,NA
5,34,68,52,0.725,0.135
17,25,58,52,0.595,0.005
13,20,52,52,0.615,0.005
5,16,52,52,0.74,0.38
3,3,52,73,0.785,0.785
5,43,67,52,0.6,0.285
14,20,52,52,0.565,0.005
6,16,57,52,0.615,NA
6,34,52,90,0.68,0.025
6,11,52,52,0.52,0.005
2,39,72,52,0.825,0.475
4,3,70,52,0.82,0.165
2,48,52,52,0.695,0.97
2,25,78,53,0.545,0.355
4,7,85,90,0.51,0.78
7,11,52,53,0.505,0.065
7,16,52,52,0.555,0.005
5,3,77,52,0.545,0.1
6,43,70,52,0.565,0.04
7,34,63,54,0.935,0.035
15,20,54,52,0.515,0.005
6,3,66,52,0.725,0.085
8,11,52,52,0.57,0.005
5,7,79,88,0.645,0.645
7,43,52,52,0.51,0.015
8,16,69,52,0.675,0.005
8,34,71,52,0.965,0.02
16,20,3,57,NA,0.005
3,48,52,52,0.64,0.335
3,25,52,53,0.725,0.255
3,39,52,52,0.86,0.86
7,3,75,56,0.52,0.02
6,7,63,64,0.73,0.145
4,48,72,52,0.525,0.205
9,11,52,65,0.69,0.005
4,39,75,77,0.63,0.305
4,25,78,52,0.66,0.22
5,48,80,52,0.84,0.235
8,43,52,93,0.76,0.005
5,25,52,52,0.885,0.055
6,48,72,53,0.83,0.075
17,20,15,52,NA,0.005
8,3,76,52,0.605,0.005
9,16,52,52,0.6,0.005
5,39,85,61,0.635,0.08
7,48,77,52,0.94,0.18
1,12,52,52,0.785,0.785
9,3,73,73,0.625,0.005
9,34,52,52,0.72,0.005
6,39,71,52,0.565,NA
2,20,52,52,0.63,0.495
1,30,92,96,0.89,0.89
1,17,52,75,0.84,0.84
6,25,74,52,0.7,0.12
9,43,60,52,0.57,0.03
8,48,61,52,0.635,NA
7,39,67,52,0.665,0.235
10,12,60,52,0.53,0.005
10,17,52,52,0.93,0.01
1,35,52,52,0.55,0.26
9,48,68,52,0.775,0.005
8,39,65,53,0.605,0.05
9,39,58,88,1,0.015
7,25,52,52,0.735,0.175
1,44,79,52,0.74,0.79
11,17,25,52,NA,0.005
10,30,52,57,0.62,0.005
1,4,74,52,0.88,0.325
11,12,26,52,NA,0.005
1,49,52,52,1,0.475
11,30,65,52,0.505,0.005
8,25,52,60,0.775,0.005
