trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
217,belly,2.478,2238,7.75,0.32,45,0.043,*gʷi̯eh₃-
218,belly,4.313,9624,7.75,0.556,45,0.043,NA
219,belly,4.26,752,7.75,0.55,45,0.043,NA
220,belly,3.065,8346,7.75,0.395,45,0.043,*bʰelg̑ʰ-
221,belly,2.957,3404,7.75,0.382,45,0.043,NA
222,belly,1.665,3167,7.75,0.215,45,0.043,NA
223,belly,2.462,1980,7.75,0.318,45,0.043,NA
224,belly,3.055,1454,7.75,0.394,45,0.043,*k̑eu̯H-
225,belly,1.472,9121,7.75,0.19,45,0.043,NA
226,belly,0.929,4985,7.75,0.12,45,0.043,NA
227,belly,2.606,3344,7.75,0.336,45,0.043,NA
228,belly,0.176,2199,7.75,0.023,45,0.043,NA
229,belly,1.506,1198,7.75,0.194,45,0.043,*terh₁-
231,belly,2.455,6095,7.75,0.317,45,0.043,NA
232,belly,0.937,5921,7.75,0.121,45,0.043,NA
233,belly,3.259,5285,7.75,0.42,45,0.043,NA
234,belly,2.778,4121,7.75,0.358,45,0.043,NA
237,belly,0.757,3269,7.75,0.098,45,0.043,NA
239,belly,2.664,2200,7.75,0.344,45,0.043,NA
240,belly,1.171,973,7.75,0.151,45,0.043,NA
241,belly,2.752,359,7.75,0.355,45,0.043,*bʰer-
260,big,6.3,360,6.3,1,47,0,*meg̑-
261,big,2.611,7106,6.3,0.414,47,0,*steh₂-
262,big,2.745,1219,6.3,0.436,47,0,*u̯elH-
263,big,2.987,855,6.3,0.474,47,0,NA
264,big,2.283,185,6.3,0.362,47,0,*gʰreu̯d-
265,big,5.219,1686,6.3,0.828,47,0,*meh₁-
266,big,2.785,753,6.3,0.442,47,0,NA
267,big,1.977,4355,6.3,0.314,47,0,NA
268,big,2.256,9124,6.3,0.358,47,0,NA
269,big,1.002,1108,6.3,0.159,47,0,*gelH-
270,big,0.441,9853,6.3,0.07,47,0,NA
271,big,2.091,9126,6.3,0.332,47,0,NA
272,big,2.67,7611,6.3,0.424,47,0,NA
273,big,2.553,6697,6.3,0.405,47,0,NA
274,big,3.331,1981,6.3,0.529,47,0,NA
276,big,4.37,3769,6.3,0.694,47,0,NA
278,big,2.898,3302,6.3,0.46,47,0,NA
279,big,0.86,2469,6.3,0.137,47,0,NA
307,bird,5.219,8378,6.235,0.837,29,0.062,*pet-
308,bird,4.747,856,6.235,0.761,29,0.062,*h₂eu̯-i-
309,bird,4.704,1109,6.235,0.754,29,0.062,NA
310,bird,5.58,7,6.235,0.895,29,0.062,NA
311,bird,4.349,186,6.235,0.697,29,0.062,?*pleu̯k-
312,bird,3.697,2204,6.235,0.593,29,0.062,NA
313,bird,3.17,1455,6.235,0.508,29,0.062,NA
314,bird,6.235,754,6.235,1,29,0.062,NA
315,bird,2.945,1831,6.235,0.472,29,0.062,NA
316,bird,4.308,4903,6.235,0.691,29,0.062,*h₃er-
317,bird,1.993,9127,6.235,0.32,29,0.062,*bʰeh₂g̑ʰu-
318,bird,1.51,8376,6.235,0.242,29,0.062,NA
319,bird,0.225,7749,6.235,0.036,29,0.062,NA
320,bird,0.757,6795,6.235,0.121,29,0.062,NA
321,bird,2.664,2470,6.235,0.427,29,0.062,NA
322,bird,2.752,361,6.235,0.441,29,0.062,*g̑ʰu̯eh₂gʰV- 
336,bite,5.489,6014,5.489,1,44,0.05,NA
337,bite,5.304,1456,5.489,0.966,44,0.05,*denk̑-
339,bite,4.349,187,5.489,0.792,44,0.05,*bʰei̯d-
340,bite,5.004,8401,5.489,0.912,44,0.05,*h₂merd-
341,bite,2.502,2028,5.489,0.456,44,0.05,*gʷreu̯Hg̑ʰ-
342,bite,4.372,3753,5.489,0.796,44,0.05,NA
343,bite,1.992,1594,5.489,0.363,44,0.05,*(s)kert-
344,bite,4.399,2106,5.489,0.801,44,0.05,NA
345,bite,1.977,4968,5.489,0.36,44,0.05,*Hd-ónt-
346,bite,2.606,5942,5.489,0.475,44,0.05,NA
347,bite,1.182,975,5.489,0.215,44,0.05,NA
348,bite,3.639,8710,5.489,0.663,44,0.05,NA
349,bite,0.225,7750,5.489,0.041,44,0.05,NA
350,bite,1.835,7544,5.489,0.334,44,0.05,NA
351,bite,2.664,7228,5.489,0.485,44,0.05,*dʰei̯h₂gʷ-
352,bite,0.938,5904,5.489,0.171,44,0.05,NA
353,bite,1.136,4357,5.489,0.207,44,0.05,*bʰresdʰ-
354,bite,2.531,4092,5.489,0.461,44,0.05,*gʰrebh₂-
355,bite,0.757,1661,5.489,0.138,44,0.05,NA
357,bite,0.759,362,5.489,0.138,44,0.05,NA
380,bitter,7.071,8319,7.071,1,29,0,*(s)tei̯g-
381,bitter,2.745,6086,7.071,0.388,29,0,*gʷʰer-
382,bitter,4.349,5262,7.071,0.615,29,0,*bʰei̯d-
383,bitter,5.004,5172,7.071,0.708,29,0,?*h₂em-
384,bitter,5.219,6371,7.071,0.738,29,0,NA
385,bitter,5.304,5056,7.071,0.75,29,0,*pei̯k̑-
386,bitter,5.426,6790,7.071,0.767,29,0,NA
387,bitter,0.441,9855,7.071,0.062,29,0,NA
388,bitter,1.356,6443,7.071,0.192,29,0,NA
389,bitter,2.752,6439,7.071,0.389,29,0,*h₂ei̯dʰ-
391,bitter,0.757,6792,7.071,0.107,29,0,NA
392,bitter,4.396,6293,7.071,0.622,29,0,*(s)kert-
393,bitter,2.606,5893,7.071,0.369,29,0,NA
394,bitter,0.86,5435,7.071,0.122,29,0,*(h₁)reu̯g̑-
409,black,4.494,1111,6.493,0.692,28,0.118,*k⁽ʷ⁾ers-
410,black,6.493,573,6.493,1,28,0.118,*k̑i̯eh₁-
411,black,2.778,1575,6.493,0.428,28,0.118,*melh₂-
412,black,4.349,188,6.493,0.67,28,0.118,*su̯ord-o-
413,black,5.004,858,6.493,0.771,28,0.118,NA
414,black,5.219,976,6.493,0.804,28,0.118,*dʰeu̯b-
415,black,5.341,756,6.493,0.823,28,0.118,NA
416,black,3.17,1457,6.493,0.488,28,0.118,NA
417,black,4.483,6740,6.493,0.691,28,0.118,NA
418,black,2.606,4891,6.493,0.401,28,0.118,NA
419,black,3.44,3752,6.493,0.53,28,0.118,*(s)re⁽g̑⁾-
420,black,2.752,363,6.493,0.424,28,0.118,NA
421,black,2.174,8021,6.493,0.335,28,0.118,*dʰeu̯s-
