"node";"tree_age";"tree_simulation_number";"prob"
52;14;21;0
53;14;21;0,005
54;14;21;0,055
55;14;21;0
56;14;21;0,025
57;14;21;1
58;14;21;1
59;14;21;1
60;14;21;0,285
61;14;21;1
62;14;21;0,445
63;14;21;1
64;14;21;1
65;14;21;1
66;14;21;0
67;14;21;0
68;14;21;0,03
69;14;21;0
70;14;21;0
71;14;21;0
72;14;21;0
73;14;21;0,02
74;14;21;1
75;14;21;1
76;14;21;0
77;14;21;0
78;14;21;0,005
79;14;21;0,155
80;14;21;0,01
81;14;21;1
82;14;21;0,025
83;14;21;0,7
84;14;21;1
85;14;21;1
86;14;21;1
87;14;21;0
88;14;21;0,05
89;14;21;1
90;14;21;0
91;14;21;0
92;14;21;0
93;14;21;0
94;14;21;0,01
95;14;21;0
96;14;21;0,005
97;14;21;1
98;14;21;1
99;14;21;1
51;15;21;1
52;15;21;0
53;15;21;0
54;15;21;0,005
55;15;21;0
56;15;21;0,015
57;15;21;1
58;15;21;1
59;15;21;0,255
60;15;21;0,015
61;15;21;1
62;15;21;0,165
63;15;21;1
64;15;21;1
65;15;21;1
66;15;21;0
67;15;21;0
68;15;21;0,01
69;15;21;0
70;15;21;0
71;15;21;0
72;15;21;0
73;15;21;0,08
74;15;21;1
75;15;21;1
76;15;21;0
77;15;21;0
78;15;21;0,005
79;15;21;0,035
80;15;21;0,01
81;15;21;1
82;15;21;0
83;15;21;0,22
84;15;21;1
85;15;21;0,365
86;15;21;1
87;15;21;0
88;15;21;0,01
89;15;21;1
90;15;21;0
91;15;21;0
92;15;21;0
93;15;21;0,015
94;15;21;0,025
95;15;21;0,015
96;15;21;0,475
97;15;21;1
98;15;21;1
99;15;21;0,965
51;16;21;1
52;16;21;0
53;16;21;0
54;16;21;0,015
55;16;21;0
56;16;21;0,015
57;16;21;1
58;16;21;1
59;16;21;0,915
60;16;21;0,005
61;16;21;1
62;16;21;0,025
63;16;21;0,985
64;16;21;1
65;16;21;1
66;16;21;0
67;16;21;0
68;16;21;0,02
69;16;21;0
70;16;21;0
71;16;21;0
72;16;21;0
73;16;21;0,025
74;16;21;1
75;16;21;1
76;16;21;0
77;16;21;0
78;16;21;0,005
79;16;21;0,055
80;16;21;0,015
81;16;21;1
82;16;21;0
83;16;21;0,03
84;16;21;1
85;16;21;1
86;16;21;0,985
87;16;21;0
88;16;21;0,01
89;16;21;1
90;16;21;0
91;16;21;0
92;16;21;0
93;16;21;0
94;16;21;0,025
95;16;21;0
96;16;21;0,19
97;16;21;1
98;16;21;1
99;16;21;0,995
51;17;21;1
52;17;21;0
53;17;21;0
54;17;21;0,045
55;17;21;0
56;17;21;0,01
57;17;21;1
58;17;21;1
59;17;21;0,135
60;17;21;0
61;17;21;1
62;17;21;0,475
63;17;21;1
64;17;21;1
65;17;21;1
66;17;21;0
67;17;21;0
68;17;21;0,015
69;17;21;0
70;17;21;0
71;17;21;0
72;17;21;0
73;17;21;0,03
74;17;21;1
75;17;21;1
76;17;21;0
77;17;21;0
78;17;21;0
79;17;21;0,045
80;17;21;0,025
81;17;21;0,91
82;17;21;0
83;17;21;0,12
84;17;21;1
85;17;21;0,43
86;17;21;1
87;17;21;0
88;17;21;0,025
89;17;21;1
90;17;21;0
91;17;21;0
92;17;21;0
93;17;21;0
94;17;21;0,01
95;17;21;0,005
96;17;21;0,025
97;17;21;1
