t,family,Delta,value
12.929292929292929,Sino-tibetan,R,0.5000227299323208
13.131313131313131,Sino-tibetan,T,0.06856938926373832
13.131313131313131,Sino-tibetan,R,0.5000181160869918
13.333333333333334,Sino-tibetan,T,0.05465080156602865
13.333333333333334,Sino-tibetan,R,0.5000144387850901
13.535353535353535,Sino-tibetan,T,0.043557484525954676
13.535353535353535,Sino-tibetan,R,0.5000115079219355
13.737373737373737,Sino-tibetan,T,0.034715949334000656
13.737373737373737,Sino-tibetan,R,0.50000917198133
13.93939393939394,Sino-tibetan,T,0.027669117059382985
13.93939393939394,Sino-tibetan,R,0.5000073102026577
14.141414141414142,Sino-tibetan,T,0.02205268913951407
14.141414141414142,Sino-tibetan,R,0.5000058263379497
14.343434343434343,Sino-tibetan,T,0.017576314316077004
14.343434343434343,Sino-tibetan,R,0.5000046436761734
14.545454545454545,Sino-tibetan,T,0.014008578408879712
14.545454545454545,Sino-tibetan,R,0.5000037010775189
14.747474747474747,Sino-tibetan,T,0.011165040947078974
14.747474747474747,Sino-tibetan,R,0.5000029498126677
14.94949494949495,Sino-tibetan,T,0.00889870019008729
14.94949494949495,Sino-tibetan,R,0.5000023510436433
15.15151515151515,Sino-tibetan,T,0.00709239361041277
15.15151515151515,Sino-tibetan,R,0.5000018738160134
15.353535353535353,Sino-tibetan,T,0.005652740967839045
15.353535353535353,Sino-tibetan,R,0.5000014934586441
15.555555555555555,Sino-tibetan,T,0.004505316851362168
15.555555555555555,Sino-tibetan,R,0.500001190308283
15.757575757575758,Sino-tibetan,T,0.0035908031248294545
15.757575757575758,Sino-tibetan,R,0.5000009486930317
15.959595959595958,Sino-tibetan,T,0.0028619223700962473
15.959595959595958,Sino-tibetan,R,0.5000007561221586
16.161616161616163,Sino-tibetan,T,0.0022809937965747712
16.161616161616163,Sino-tibetan,R,0.5000006026403689
16.363636363636363,Sino-tibetan,T,0.0018179852655603832
16.363636363636363,Sino-tibetan,R,0.5000004803131481
16.565656565656564,Sino-tibetan,T,0.0014489607252582916
16.565656565656564,Sino-tibetan,R,0.5000003828165721
16.767676767676768,Sino-tibetan,T,0.001154842793895732
16.767676767676768,Sino-tibetan,R,0.5000003051103815
16.96969696969697,Sino-tibetan,T,9.204265204463504e-4
16.96969696969697,Sino-tibetan,R,0.5000002431774162
17.171717171717173,Sino-tibetan,T,7.335933375685591e-4
17.171717171717173,Sino-tibetan,R,0.5000001938159412
17.373737373737374,Sino-tibetan,T,5.846845706531855e-4
17.373737373737374,Sino-tibetan,R,0.5000001544741269
17.575757575757574,Sino-tibetan,T,4.660021154130933e-4
17.575757575757574,Sino-tibetan,R,0.5000001231181282
17.77777777777778,Sino-tibetan,T,3.7141047065236894e-4
17.77777777777778,Sino-tibetan,R,0.5000000981269407
17.97979797979798,Sino-tibetan,T,2.9601955258922054e-4
17.97979797979798,Sino-tibetan,R,0.5000000782086004
18.18181818181818,Sino-tibetan,T,2.359318932533261e-4
18.18181818181818,Sino-tibetan,R,0.5000000623333932
18.383838383838384,Sino-tibetan,T,1.880411539279032e-4
18.383838383838384,Sino-tibetan,R,0.500000049680622
18.585858585858585,Sino-tibetan,T,1.4987153742953806e-4
18.585858585858585,Sino-tibetan,R,0.500000039596179
18.78787878787879,Sino-tibetan,T,1.194497973571531e-4
18.78787878787879,Sino-tibetan,R,0.5000000315587312
18.98989898989899,Sino-tibetan,T,9.52032275999917e-5
18.98989898989899,Sino-tibetan,R,0.5000000251527682
19.19191919191919,Sino-tibetan,T,7.587835849026737e-5
19.19191919191919,Sino-tibetan,R,0.5000000200471224
19.393939393939394,Sino-tibetan,T,6.047615645310319e-5
19.393939393939394,Sino-tibetan,R,0.5000000159778485
19.595959595959595,Sino-tibetan,T,4.8200377184086596e-5
19.595959595959595,Sino-tibetan,R,0.5000000127345778
19.7979797979798,Sino-tibetan,T,3.8416402379834015e-5
19.7979797979798,Sino-tibetan,R,0.5000000101496439
20,Sino-tibetan,T,3.0618432012946376e-5
20,Sino-tibetan,R,0.500000008089414
0,Bantu,T,1
0,Bantu,R,1
0.20202020202020202,Bantu,T,1
0.20202020202020202,Bantu,R,1
0.40404040404040403,Bantu,T,1
0.40404040404040403,Bantu,R,1
0.6060606060606061,Bantu,T,1
0.6060606060606061,Bantu,R,1
0.8080808080808081,Bantu,T,1
0.8080808080808081,Bantu,R,1
1.0101010101010102,Bantu,T,1
1.0101010101010102,Bantu,R,1
1.2121212121212122,Bantu,T,1
1.2121212121212122,Bantu,R,1
1.4141414141414141,Bantu,T,1
1.4141414141414141,Bantu,R,1
1.6161616161616161,Bantu,T,1
1.6161616161616161,Bantu,R,1
1.8181818181818181,Bantu,T,1
1.8181818181818181,Bantu,R,1
2.0202020202020203,Bantu,T,1
2.0202020202020203,Bantu,R,1
2.2222222222222223,Bantu,T,1
2.2222222222222223,Bantu,R,1
2.4242424242424243,Bantu,T,1
2.4242424242424243,Bantu,R,1
2.6262626262626263,Bantu,T,1
2.6262626262626263,Bantu,R,1
2.8282828282828283,Bantu,T,1
2.8282828282828283,Bantu,R,1
3.0303030303030303,Bantu,T,1
3.0303030303030303,Bantu,R,1
3.2323232323232323,Bantu,T,1
3.2323232323232323,Bantu,R,1
3.4343434343434343,Bantu,T,1
3.4343434343434343,Bantu,R,1
3.6363636363636362,Bantu,T,1
3.6363636363636362,Bantu,R,1
3.8383838383838382,Bantu,T,1
3.8383838383838382,Bantu,R,1
4.040404040404041,Bantu,T,1
4.040404040404041,Bantu,R,1
4.242424242424242,Bantu,T,1
4.242424242424242,Bantu,R,1
4.444444444444445,Bantu,T,1
4.444444444444445,Bantu,R,1
4.646464646464646,Bantu,T,1
4.646464646464646,Bantu,R,1
4.848484848484849,Bantu,T,1
4.848484848484849,Bantu,R,1
5.05050505050505,Bantu,T,1
5.05050505050505,Bantu,R,1
5.252525252525253,Bantu,T,1
5.252525252525253,Bantu,R,1
5.454545454545454,Bantu,T,1
5.454545454545454,Bantu,R,1
5.656565656565657,Bantu,T,1
5.656565656565657,Bantu,R,1
5.858585858585858,Bantu,T,1
5.858585858585858,Bantu,R,1
6.0606060606060606,Bantu,T,1
6.0606060606060606,Bantu,R,1
6.262626262626262,Bantu,T,1
6.262626262626262,Bantu,R,1
6.4646464646464645,Bantu,T,1
6.4646464646464645,Bantu,R,1
6.666666666666667,Bantu,T,1
6.666666666666667,Bantu,R,0.9411661801220834
6.8686868686868685,Bantu,T,1
6.8686868686868685,Bantu,R,0.8582741174326824
7.070707070707071,Bantu,T,1
7.070707070707071,Bantu,R,0.7909568978896939
7.2727272727272725,Bantu,T,1
7.2727272727272725,Bantu,R,0.7362881165857598
7.474747474747475,Bantu,T,1
7.474747474747475,Bantu,R,0.6918912197806438
7.6767676767676765,Bantu,T,1
7.6767676767676765,Bantu,R,0.6558361916839728
7.878787878787879,Bantu,T,1
7.878787878787879,Bantu,R,0.6265556530743025
8.080808080808081,Bantu,T,1
8.080808080808081,Bantu,R,0.6027767244052232
8.282828282828282,Bantu,T,1
8.282828282828282,Bantu,R,0.5834656913608238
8.484848484848484,Bantu,T,1
8.484848484848484,Bantu,R,0.5677830673691546
8.686868686868687,Bantu,T,1
8.686868686868687,Bantu,R,0.5550470995574583
8.88888888888889,Bantu,T,1
8.88888888888889,Bantu,R,0.544704131685071
9.09090909090909,Bantu,T,1
9.09090909090909,Bantu,R,0.5363045356754932
9.292929292929292,Bantu,T,1
9.292929292929292,Bantu,R,0.5294831654465019
9.494949494949495,Bantu,T,1
9.494949494949495,Bantu,R,0.5239434833298965
9.696969696969697,Bantu,T,1
9.696969696969697,Bantu,R,0.5194446690267802
9.8989898989899,Bantu,T,1
9.8989898989899,Bantu,R,0.5157911507006554
10.1010101010101,Bantu,T,1
10.1010101010101,Bantu,R,0.5128241031054515
10.303030303030303,Bantu,T,1
10.303030303030303,Bantu,R,0.5104145431562771
10.505050505050505,Bantu,T,1
10.505050505050505,Bantu,R,0.5084577227944971
10.707070707070708,Bantu,T,1
10.707070707070708,Bantu,R,0.5068685753945377
10.909090909090908,Bantu,T,1
10.909090909090908,Bantu,R,0.5055780177592417
11.11111111111111,Bantu,T,1
11.11111111111111,Bantu,R,0.5045299469446256
11.313131313131313,Bantu,T,1
11.313131313131313,Bantu,R,0.5036788013604159
11.515151515151516,Bantu,T,1
11.515151515151516,Bantu,R,0.5029875801228653
11.717171717171716,Bantu,T,1
11.717171717171716,Bantu,R,0.5024262345574241
11.919191919191919,Bantu,T,1
11.919191919191919,Bantu,R,0.5019703619268939
12.121212121212121,Bantu,T,1
12.121212121212121,Bantu,R,0.5016001445989934
12.323232323232324,Bantu,T,1
12.323232323232324,Bantu,R,0.5012994885369735
12.525252525252524,Bantu,T,1
12.525252525252524,Bantu,R,0.5010553236618664
12.727272727272727,Bantu,T,1
12.727272727272727,Bantu,R,0.5008570356718105
12.929292929292929,Bantu,T,1
12.929292929292929,Bantu,R,0.50069600461858
13.131313131313131,Bantu,T,1
13.131313131313131,Bantu,R,0.5005652301823812
13.333333333333334,Bantu,T,1
13.333333333333334,Bantu,R,0.500459027354914
13.535353535353535,Bantu,T,1
13.535353535353535,Bantu,R,0.5003727793014726
13.737373737373737,Bantu,T,1
13.737373737373737,Bantu,R,0.5003027366585429
13.93939393939394,Bantu,T,0.9487526775268618
13.93939393939394,Bantu,R,0.5002458545419868
14.141414141414142,Bantu,T,0.7704886356174581
14.141414141414142,Bantu,R,0.5001996601802585
