family,n_trees,N,k,pi0,pi1,q,clock_rate,t_R,ub_DS,ub_DT,inf_t_DT,t,mu,n_cogsets
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,17.373737373737374,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,17.575757575757574,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,17.77777777777778,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,17.97979797979798,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,18.18181818181818,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,18.383838383838384,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,18.585858585858585,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,18.78787878787879,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,18.98989898989899,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,19.19191919191919,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,19.393939393939394,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,19.595959595959595,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,19.7979797979798,NA,NA
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,0,0,6.125,20,NA,NA
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,7401189658162699e101,3018335238023919e220,6.10635393258427,0,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,10523471157787264e92,4291656515901098e211,6.10635393258427,0.20202020202020202,0.5362658086921753,22.241573033707862
