"tree_age","simulation","min_ess","all_ess_above_thresh"
3,40,63.5,FALSE
4,40,60.6,FALSE
5,40,25.4,FALSE
6,40,36,FALSE
7,40,18.1,FALSE
8,40,8.6,FALSE
9,40,5.1,FALSE
1,41,288.1,TRUE
10,41,38.9,FALSE
11,41,39.5,FALSE
12,41,13.3,FALSE
13,41,15.9,FALSE
14,41,21.4,FALSE
15,41,13.1,FALSE
16,41,8.7,FALSE
17,41,15.9,FALSE
2,41,218.7,TRUE
3,41,88.8,FALSE
4,41,36.6,FALSE
5,41,51.2,FALSE
6,41,49.7,FALSE
7,41,44.3,FALSE
8,41,31.1,FALSE
9,41,8.8,FALSE
1,42,106.4,FALSE
10,42,16.9,FALSE
11,42,5.9,FALSE
12,42,5,FALSE
13,42,10.3,FALSE
14,42,16.3,FALSE
15,42,22.9,FALSE
16,42,19.4,FALSE
17,42,7.8,FALSE
2,42,71.7,FALSE
3,42,33.7,FALSE
4,42,30.4,FALSE
5,42,37.6,FALSE
6,42,18.8,FALSE
7,42,21.7,FALSE
8,42,35.3,FALSE
9,42,2.3,FALSE
1,43,393.7,TRUE
10,43,NA,NA
11,43,18,FALSE
12,43,22.3,FALSE
13,43,19,FALSE
14,43,6.6,FALSE
15,43,5,FALSE
16,43,19.1,FALSE
17,43,11.2,FALSE
2,43,197.8,FALSE
3,43,104.6,FALSE
4,43,61.5,FALSE
5,43,43.4,FALSE
6,43,42.4,FALSE
7,43,52.9,FALSE
8,43,35.1,FALSE
9,43,24.9,FALSE
1,44,477.4,TRUE
10,44,69.2,FALSE
11,44,58.6,FALSE
12,44,19.6,FALSE
13,44,57.3,FALSE
14,44,5.3,FALSE
15,44,19.9,FALSE
16,44,4.4,FALSE
17,44,31,FALSE
2,44,156.8,FALSE
3,44,110.3,FALSE
4,44,102.4,FALSE
5,44,55,FALSE
6,44,70.6,FALSE
7,44,73.3,FALSE
8,44,86.7,FALSE
9,44,55.8,FALSE
1,45,484.6,TRUE
10,45,30.4,FALSE
11,45,57.6,FALSE
12,45,22.9,FALSE
13,45,22.7,FALSE
14,45,26.4,FALSE
15,45,7.5,FALSE
16,45,15.1,FALSE
17,45,5.9,FALSE
2,45,172,FALSE
3,45,101.5,FALSE
4,45,44.3,FALSE
5,45,49.8,FALSE
6,45,20.1,FALSE
