age,simulation,node,y,cs_prob,first_split
13,21,52,TRUE,0.955,52
14,21,73,TRUE,0.65,73
15,21,52,TRUE,0.87,52
16,21,52,TRUE,0.58,52
17,21,58,TRUE,0.58,58
2,21,52,TRUE,1,52
3,21,52,TRUE,1,52
4,21,52,TRUE,0.935,52
5,21,52,TRUE,1,52
6,21,52,TRUE,1,52
7,21,52,TRUE,0.995,52
8,21,52,TRUE,0.875,52
9,21,52,TRUE,0.825,52
1,22,52,TRUE,1,52
10,22,52,TRUE,0.665,52
11,22,52,TRUE,0.865,52
12,22,69,FALSE,0.53,69
13,22,52,TRUE,0.515,52
14,22,52,TRUE,0.895,52
15,22,68,FALSE,0.525,68
16,22,67,FALSE,0.755,67
17,22,67,FALSE,0.52,67
2,22,52,TRUE,0.995,52
3,22,52,TRUE,0.86,52
4,22,52,TRUE,0.915,52
5,22,52,TRUE,0.98,52
6,22,52,TRUE,0.945,52
7,22,52,TRUE,0.9,52
8,22,52,TRUE,0.505,52
9,22,52,TRUE,0.73,52
1,23,52,TRUE,1,52
10,23,69,TRUE,0.535,69
11,23,52,TRUE,0.755,52
12,23,66,FALSE,0.545,66
13,23,71,TRUE,0.675,71
14,23,72,TRUE,0.885,72
15,23,69,FALSE,0.68,69
17,23,52,TRUE,0.79,52
2,23,52,TRUE,1,52
3,23,52,TRUE,1,52
4,23,52,TRUE,1,52
5,23,52,TRUE,0.74,52
6,23,87,FALSE,0.505,87
7,23,52,TRUE,0.53,52
8,23,52,TRUE,1,52
9,23,52,FALSE,0.51,52
1,24,52,TRUE,1,52
10,24,52,TRUE,0.595,52
11,24,73,TRUE,0.775,73
12,24,68,TRUE,0.645,68
13,24,74,FALSE,0.63,74
14,24,68,TRUE,0.65,68
15,24,68,FALSE,0.505,68
16,24,52,TRUE,0.525,52
2,24,52,TRUE,0.995,52
3,24,52,TRUE,0.95,52
4,24,52,TRUE,0.835,52
5,24,52,TRUE,0.975,52
6,24,52,TRUE,0.59,52
7,24,52,TRUE,0.87,52
8,24,52,TRUE,0.81,52
9,24,52,TRUE,0.58,52
1,25,52,TRUE,1,52
10,25,52,TRUE,0.62,52
11,25,73,TRUE,0.67,73
12,25,71,TRUE,0.71,71
13,25,69,FALSE,0.6,69
14,25,68,TRUE,0.67,68
15,25,69,TRUE,0.805,69
17,25,57,TRUE,0.835,57
2,25,52,TRUE,1,52
3,25,52,TRUE,0.995,52
4,25,52,TRUE,1,52
5,25,52,TRUE,0.705,52
6,25,52,TRUE,0.73,52
7,25,52,TRUE,0.845,52
8,25,52,TRUE,0.865,52
9,25,65,TRUE,0.535,65
1,26,52,TRUE,1,52
10,26,65,TRUE,0.65,65
11,26,52,TRUE,0.575,52
12,26,68,FALSE,0.53,68
13,26,67,TRUE,0.89,67
14,26,68,TRUE,0.565,68
15,26,67,TRUE,0.69,67
16,26,67,TRUE,0.675,67
17,26,65,TRUE,0.775,65
2,26,52,TRUE,1,52
3,26,52,TRUE,1,52
4,26,52,TRUE,1,52
5,26,52,TRUE,0.955,52
6,26,52,TRUE,0.99,52
7,26,52,TRUE,1,52
8,26,71,TRUE,0.715,71
9,26,52,TRUE,0.98,52
1,27,52,TRUE,1,52
10,27,52,FALSE,0.71,52
11,27,63,TRUE,0.52,63
12,27,70,TRUE,0.655,70
13,27,67,TRUE,0.785,67
14,27,52,TRUE,0.655,52
15,27,70,FALSE,0.515,70
16,27,58,FALSE,0.585,58
17,27,69,TRUE,0.575,69
2,27,52,TRUE,0.955,52
3,27,52,TRUE,0.89,52
4,27,52,TRUE,0.975,52
5,27,52,TRUE,0.63,52
6,27,52,TRUE,0.895,52
7,27,52,TRUE,0.96,52
8,27,52,FALSE,0.53,52
9,27,52,FALSE,0.525,52
1,28,52,TRUE,0.615,52
10,28,52,TRUE,0.835,52
11,28,52,FALSE,0.645,52
12,28,52,TRUE,0.525,52
13,28,70,TRUE,0.52,70
