Index,Cumsum,Family
147,1.0119694771134755,Sino-Tibetan
148,1.0119694771134755,Sino-Tibetan
149,1.0119694771134755,Sino-Tibetan
150,1.0119694771134755,Sino-Tibetan
151,1.0119694771134755,Sino-Tibetan
152,1.0119694771134755,Sino-Tibetan
153,1.0119694771134755,Sino-Tibetan
154,1.0119694771134755,Sino-Tibetan
155,1.0119694771134755,Sino-Tibetan
156,1.0119694771134755,Sino-Tibetan
157,1.0119694771134755,Sino-Tibetan
158,1.0119694771134755,Sino-Tibetan
159,1.0119694771134755,Sino-Tibetan
160,1.0119694771134755,Sino-Tibetan
161,1.0119694771134755,Sino-Tibetan
162,1.0119694771134755,Sino-Tibetan
163,1.0119694771134755,Sino-Tibetan
164,1.0119694771134755,Sino-Tibetan
165,1.0119694771134755,Sino-Tibetan
166,1.0119694771134755,Sino-Tibetan
167,1.0119694771134755,Sino-Tibetan
168,1.0119694771134755,Sino-Tibetan
169,1.0119694771134755,Sino-Tibetan
170,1.0119694771134755,Sino-Tibetan
171,1.0119694771134755,Sino-Tibetan
172,1.0119694771134755,Sino-Tibetan
173,1.0119694771134755,Sino-Tibetan
174,1.0119694771134755,Sino-Tibetan
175,1.0119694771134755,Sino-Tibetan
176,1.0119694771134755,Sino-Tibetan
177,1.0119694771134755,Sino-Tibetan
178,1.0119694771134755,Sino-Tibetan
1,0.44561382352639634,Transeurasian
2,0.7414334964347243,Transeurasian
3,0.8347173379695335,Transeurasian
4,0.9275315961641177,Transeurasian
5,1.0080605460394723,Transeurasian
6,1.0232483391271303,Transeurasian
7,1.0296627855540694,Transeurasian
8,1.0319090050569477,Transeurasian
9,1.0326369965654452,Transeurasian
10,1.033005476176728,Transeurasian
11,1.033245220457807,Transeurasian
12,1.0333226085888152,Transeurasian
13,1.0333548023685897,Transeurasian
14,1.0333831496967776,Transeurasian
15,1.033390922083599,Transeurasian
16,1.0333968871944466,Transeurasian
17,1.033402691139782,Transeurasian
18,1.033407251369569,Transeurasian
19,1.03341169820345,Transeurasian
20,1.0334144304427189,Transeurasian
21,1.0334164849152534,Transeurasian
22,1.0334174100944953,Transeurasian
23,1.0334175839947788,Transeurasian
24,1.0334176062853924,Transeurasian
25,1.0334176201556768,Transeurasian
26,1.033417626213777,Transeurasian
27,1.0334176295602746,Transeurasian
28,1.0334176300083235,Transeurasian
29,1.0334176301927154,Transeurasian
30,1.0334176303099365,Transeurasian
31,1.0334176303759246,Transeurasian
32,1.0334176304260472,Transeurasian
33,1.0334176304282667,Transeurasian
34,1.0334176304301355,Transeurasian
35,1.0334176304302904,Transeurasian
36,1.0334176304303848,Transeurasian
37,1.033417630430435,Transeurasian
38,1.033417630430461,Transeurasian
39,1.0334176304304623,Transeurasian
40,1.0334176304304628,Transeurasian
41,1.0334176304304632,Transeurasian
42,1.0334176304304634,Transeurasian
43,1.0334176304304634,Transeurasian
44,1.0334176304304634,Transeurasian
45,1.0334176304304634,Transeurasian
46,1.0334176304304634,Transeurasian
47,1.0334176304304634,Transeurasian
48,1.0334176304304634,Transeurasian
49,1.0334176304304634,Transeurasian
50,1.0334176304304634,Transeurasian
51,1.0334176304304634,Transeurasian
52,1.0334176304304634,Transeurasian
53,1.0334176304304634,Transeurasian
54,1.0334176304304634,Transeurasian
55,1.0334176304304634,Transeurasian
56,1.0334176304304634,Transeurasian
57,1.0334176304304634,Transeurasian
58,1.0334176304304634,Transeurasian
59,1.0334176304304634,Transeurasian
60,1.0334176304304634,Transeurasian
61,1.0334176304304634,Transeurasian
62,1.0334176304304634,Transeurasian
63,1.0334176304304634,Transeurasian
64,1.0334176304304634,Transeurasian
65,1.0334176304304634,Transeurasian
66,1.0334176304304634,Transeurasian
67,1.0334176304304634,Transeurasian
68,1.0334176304304634,Transeurasian
69,1.0334176304304634,Transeurasian
70,1.0334176304304634,Transeurasian
71,1.0334176304304634,Transeurasian
72,1.0334176304304634,Transeurasian
73,1.0334176304304634,Transeurasian
74,1.0334176304304634,Transeurasian
75,1.0334176304304634,Transeurasian
76,1.0334176304304634,Transeurasian
77,1.0334176304304634,Transeurasian
78,1.0334176304304634,Transeurasian
79,1.0334176304304634,Transeurasian
80,1.0334176304304634,Transeurasian
81,1.0334176304304634,Transeurasian
82,1.0334176304304634,Transeurasian
83,1.0334176304304634,Transeurasian
84,1.0334176304304634,Transeurasian
85,1.0334176304304634,Transeurasian
86,1.0334176304304634,Transeurasian
87,1.0334176304304634,Transeurasian
88,1.0334176304304634,Transeurasian
89,1.0334176304304634,Transeurasian
90,1.0334176304304634,Transeurasian
91,1.0334176304304634,Transeurasian
92,1.0334176304304634,Transeurasian
93,1.0334176304304634,Transeurasian
94,1.0334176304304634,Transeurasian
95,1.0334176304304634,Transeurasian
96,1.0334176304304634,Transeurasian
97,1.0334176304304634,Transeurasian
98,1.0334176304304634,Transeurasian
99,1.0334176304304634,Transeurasian
100,1.0334176304304634,Transeurasian
101,1.0334176304304634,Transeurasian
102,1.0334176304304634,Transeurasian
103,1.0334176304304634,Transeurasian
104,1.0334176304304634,Transeurasian
105,1.0334176304304634,Transeurasian
106,1.0334176304304634,Transeurasian
