age,simulation,node,y,hipstr_prob,first_split
5,40,58,TRUE,0.973,58
6,40,58,TRUE,0.652,58
7,40,58,TRUE,0.837,58
8,40,58,TRUE,0.769,58
9,40,58,TRUE,0.634,58
1,41,58,TRUE,0.999,58
10,41,58,TRUE,0.73,58
11,41,52,FALSE,0.186,52
12,41,59,FALSE,0.271,59
13,41,58,TRUE,0.109,58
14,41,60,TRUE,0.086,60
15,41,58,TRUE,0.013,58
16,41,59,FALSE,0.001,59
17,41,55,FALSE,0,55
2,41,58,TRUE,0.999,58
3,41,58,TRUE,0.994,58
4,41,58,TRUE,0.462,58
5,41,58,TRUE,0.995,58
6,41,58,TRUE,0.945,58
7,41,58,TRUE,0.899,58
8,41,58,TRUE,0.686,58
9,41,58,TRUE,0.496,58
1,42,58,TRUE,0.528,58
10,42,60,TRUE,0.111,60
11,42,58,TRUE,0.247,58
12,42,60,FALSE,0.012,60
13,42,64,FALSE,0.005,64
14,42,58,TRUE,0.028,58
15,42,55,FALSE,0,55
16,42,53,FALSE,0,53
17,42,60,FALSE,0,60
2,42,58,TRUE,0.871,58
3,42,58,TRUE,0.91,58
4,42,52,FALSE,0.529,52
5,42,58,TRUE,0.709,58
6,42,52,FALSE,0.44,52
7,42,58,TRUE,0.515,58
8,42,61,FALSE,0.21,61
9,42,58,TRUE,0.291,58
1,43,58,TRUE,0.964,58
10,43,52,FALSE,0.186,52
11,43,58,TRUE,0.4,58
12,43,54,FALSE,0.04,54
13,43,58,TRUE,0.174,58
14,43,53,FALSE,0.001,53
15,43,66,FALSE,0,66
16,43,67,FALSE,0,67
17,43,74,FALSE,0,74
2,43,58,TRUE,1,58
3,43,58,TRUE,0.737,58
4,43,58,TRUE,0.519,58
5,43,58,TRUE,0.891,58
6,43,60,TRUE,0.992,60
7,43,52,FALSE,0.466,52
8,43,58,TRUE,0.854,58
9,43,52,FALSE,0.329,52
1,44,58,TRUE,0.915,58
10,44,58,TRUE,0.195,58
11,44,58,TRUE,0.19,58
12,44,58,TRUE,0.038,58
13,44,52,FALSE,0.013,52
14,44,56,FALSE,0,56
15,44,59,FALSE,0,59
16,44,55,FALSE,0,55
17,44,52,FALSE,0,52
2,44,58,TRUE,0.998,58
3,44,58,TRUE,0.971,58
4,44,58,TRUE,0.999,58
