family,tip,age,depth,root_age
Bantu,H16_Kimbeko,5.075103246365526,0,5.08
Bantu,H16a_Kisikongo_2013,5.075103246365526,0,5.08
Bantu,H16a_Kisolongo_DRC_2012,5.075103246365526,0,5.08
Bantu,H16b_Kindibu_2013,5.075103246365526,0,5.08
Bantu,H16c_Kiyombe_DRC_1982,5.075103246365526,0,5.08
Bantu,H16c_Yombe,5.075103246365526,0,5.08
Bantu,H16d_Ciwoyo_DRC_2012,5.075103246365526,0,5.08
Bantu,H16f_Laadi,5.075103246365526,0,5.08
Bantu,H16g_Kimpangu_2012,5.075103246365526,0,5.08
Bantu,H16g_Ntandu,5.075103246365526,0,5.08
Bantu,H16h_Kinkanu_2012,5.075103246365526,0,5.08
Bantu,H21a_Kimbundu,5.075103246365525,0,5.08
Bantu,H31_Yaka,5.075103246365527,0,5.08
Bantu,H321_Soonde,5.075103246365525,0,5.08
Bantu,H32_Suku,5.075103246365527,0,5.08
Bantu,H41_Mbala,5.075103246365525,0,5.08
Bantu,H42_Hunganna,5.075103246365526,0,5.08
Bantu,JD53_Shi,5.075103246365526,0,5.08
Bantu,JD62_Rundi,5.075103246365526,0,5.08
Bantu,JD64_Shubi,5.075103246365526,0,5.08
Bantu,JD65_Hangaza,5.075103246365526,0,5.08
Bantu,JD66_Kiha,5.075103246365526,0,5.08
Bantu,JD67_Kivinza,5.075103246365526,0,5.08
Bantu,JE11_Runyoro,5.075103246365525,0,5.08
Bantu,JE12_Rutooro,5.075103246365525,0,5.08
Bantu,JE13_Runyankore,5.075103246365526,0,5.08
Bantu,JE14_Rukiga,5.075103246365526,0,5.08
Bantu,JE15_Luganda,5.075103246365525,0,5.08
Bantu,JE16_Lusoga,5.075103246365525,0,5.08
Bantu,JE17_Gwere,5.075103246365525,0,5.08
Bantu,JE21_Runyambo,5.075103246365526,0,5.08
Bantu,JE22_Haya,5.075103246365526,0,5.08
Bantu,JE23_Zinza,5.075103246365526,0,5.08
Bantu,JE24_Kerebe,5.075103246365525,0,5.08
Bantu,JE25_Jita,5.075103246365525,0,5.08
Bantu,JE25_Kilegi,5.075103246365525,0,5.08
Bantu,JE25_Mkwaya,5.075103246365526,0,5.08
Bantu,JE31_Lumasaaba,5.075103246365525,0,5.08
Bantu,JE31c_Bukusu,5.075103246365525,0,5.08
Bantu,JE32_Luyia,5.075103246365525,0,5.08
Bantu,JE34_Samialugwe,5.075103246365525,0,5.08
Bantu,JE401_Ngoreme,5.075103246365525,0,5.08
Bantu,JE402_Ikizu,5.075103246365525,0,5.08
Bantu,JE403_Suba,5.075103246365526,0,5.08
Bantu,JE404_Shasi,5.075103246365525,0,5.08
Bantu,JE41_Maragoli,5.075103246365525,0,5.08
Bantu,JE42_Gusii,5.075103246365525,0,5.08
Bantu,JE43_Kuria,5.075103246365525,0,5.08
Bantu,JE43_Kuria_Mago,5.075103246365525,0,5.08
Bantu,JE43_Kuria_Tari,5.075103246365525,0,5.08
Bantu,JE44_Zanaki,5.075103246365525,0,5.08
Bantu,JE45_Nata,5.075103246365525,0,5.08
Bantu,K11_Ciokwe,5.075103246365526,0,5.08
Bantu,K14_Lwena,5.075103246365526,0,5.08
Bantu,K15_Mbunda,5.075103246365525,0,5.08
Bantu,K21_Lozi,5.075103246365526,0,5.08
Bantu,K31_Luyana,5.075103246365526,0,5.08
Bantu,K332_Rumanyo,5.075103246365526,0,5.08
Bantu,K33_Kwangali,5.075103246365526,0,5.08
Bantu,Kom_Grassfields,5.075103246365526,0,5.08
Bantu,Kulung_Jarawan,5.075103246365526,0,5.08
Bantu,L11_Pende,5.075103246365525,0,5.08
Bantu,L12b_Holu,5.075103246365526,0,5.08
Bantu,L13_Kwese,5.075103246365525,0,5.08
Bantu,L221_Lwalwa,5.075103246365525,0,5.08
Bantu,L23_Songe,5.075103246365525,0,5.08
Bantu,L31a_Luba-Kasai,5.075103246365526,0,5.08
Bantu,L32_Kanyok,5.075103246365526,0,5.08
Bantu,L33_Luba-Shaba,5.075103246365525,0,5.08
Bantu,L34_Hemba,5.075103246365526,0,5.08
Bantu,L35_Sanga,5.075103246365526,0,5.08
Bantu,L41_Kaonde,5.075103246365526,0,5.08
Bantu,L51_Salampasu,5.075103246365526,0,5.08
Bantu,L52_Lunda,5.075103246365526,0,5.08
Bantu,L53_Runda,5.075103246365526,0,5.08
Bantu,L62_Nkoya,5.075103246365526,0,5.08
Bantu,M11_Pimbwe,5.075103246365526,0,5.08
Bantu,M12_Lungwa,5.075103246365526,0,5.08
Bantu,M13_Fipa,5.075103246365526,0,5.08
Bantu,M14_Rungu,5.075103246365526,0,5.08
Bantu,M15_Mambwe,5.075103246365526,0,5.08
Bantu,M21_Ndali,5.075103246365524,0,5.08
Bantu,M21_Wanda,5.075103246365526,0,5.08
Bantu,M22_Namwanga,5.075103246365526,0,5.08
Bantu,M23_Nyiha,5.075103246365525,0,5.08
Bantu,M24_Malila,5.075103246365525,0,5.08
Bantu,M25_Safwa,5.075103246365525,0,5.08
Bantu,M28_Lambya,5.075103246365525,0,5.08
Bantu,M31_Nyakyusa,5.075103246365524,0,5.08
Bantu,M41_Taabwa,5.075103246365526,0,5.08
Bantu,M42_Bemba,5.075103246365525,0,5.08
Bantu,M52_Lala,5.075103246365525,0,5.08
Bantu,M54_Lamba,5.075103246365525,0,5.08
Bantu,M61_Lenje,5.075103246365525,0,5.08
Bantu,M62_Soli,5.075103246365525,0,5.08
Bantu,M64_Tonga,5.075103246365525,0,5.08
Bantu,Mbula_Jarawan,5.075103246365526,0,5.08
Bantu,Moghamo_Grassfields,5.075103246365525,0,5.08
Bantu,Mungaka_Grassfields,5.075103246365525,0,5.08
Bantu,N11_Manda,5.075103246365526,0,5.08
Bantu,N12_Ngoni,5.075103246365526,0,5.08
Bantu,N13_Matengo,5.075103246365526,0,5.08
Bantu,N14_Mpoto,5.075103246365526,0,5.08
Bantu,N21_Tumbuka_Malawi,5.075103246365525,0,5.08
Bantu,N31_Chewa,5.075103246365525,0,5.08
Bantu,N42_Kunda,5.075103246365525,0,5.08
Bantu,Njen_Grassfields,5.075103246365525,0,5.08
Bantu,Oku_Grassfields,5.075103246365526,0,5.08
Bantu,P11_Ndengeleko,5.075103246365526,0,5.08
Bantu,P12_Rufiji,5.075103246365526,0,5.08
Bantu,P13_Matumbi,5.075103246365526,0,5.08
Bantu,P14_Ngindo,5.075103246365526,0,5.08
Bantu,P15_Mbunga,5.075103246365526,0,5.08
Bantu,P21_Yao,5.075103246365526,0,5.08
Bantu,P22_Mwera,5.075103246365526,0,5.08
Bantu,P23_Simakonde,5.075103246365526,0,5.08
Bantu,P25_Mabia,5.075103246365526,0,5.08
Bantu,P31G_Ikorovere,5.075103246365525,0,5.08
Bantu,P31_Emakhua,5.075103246365525,0,5.08
Bantu,R11_Umbundu,5.075103246365526,0,5.08
Bantu,R21_Kwanyama,5.075103246365526,0,5.08
Bantu,R22_Ndonga,5.075103246365526,0,5.08
Bantu,R31_Herero,5.075103246365525,0,5.08
Bantu,S11_Shona,5.075103246365525,0,5.08
Bantu,S16_Kalanga,5.075103246365525,0,5.08
Bantu,S21_Venda,5.075103246365526,0,5.08
Bantu,S311_Shekgalagari,5.075103246365526,0,5.08
Bantu,S31_Tswana,5.075103246365526,0,5.08
Bantu,S41_Xhosa,5.075103246365526,0,5.08
Bantu,S42_Zulu,5.075103246365526,0,5.08
Bantu,S44_Ndebele,5.075103246365526,0,5.08
Bantu,S51_Tshwa,5.075103246365526,0,5.08
Bantu,S53_Tsonga,5.075103246365526,0,5.08
Bantu,Tiv_Tivoid,5.075103246365526,0,5.08
Bantu,Zaambo_Jarawan,5.075103246365526,0,5.08
Bantu_subset,*D308_Bodo2,5.1736722018949495,0,5.17
Bantu_subset,*D308_Ebodo,5.1736722018949495,0,5.17
Bantu_subset,A151_Nkongho,5.1736722018949495,0,5.17
Bantu_subset,A27_Malimba,5.1736722018949495,0,5.17
Bantu_subset,A31_Bubi,5.1736722018949495,0,5.17
Bantu_subset,A53_Bafia_rikpa,5.1736722018949495,0,5.17
Bantu_subset,A61_Ngoro-lunda,5.1736722018949495,0,5.17
Bantu_subset,A622_Nugunu,5.173672201894949,0,5.17
Bantu_subset,A62B_Mmala,5.173672201894949,0,5.17
Bantu_subset,A62C_Libie,5.173672201894949,0,5.17
Bantu_subset,A74a_Bulu,5.1736722018949495,0,5.17
Bantu_subset,A87_Bomwali,5.1736722018949495,0,5.17
Bantu_subset,B11F_Enenga,5.1736722018949495,0,5.17
Bantu_subset,B11a_Mpongwe,5.1736722018949495,0,5.17
Bantu_subset,B201_Ndasa,5.1736722018949495,0,5.17
Bantu_subset,B203_Samaye,5.1736722018949495,0,5.17
Bantu_subset,B22b_Koya,5.173672201894949,0,5.17
Bantu_subset,B23_Mbangwe,5.173672201894949,0,5.17
Bantu_subset,B305_Vove,5.1736722018949495,0,5.17
Bantu_subset,B32_Kande,5.1736722018949495,0,5.17
Bantu_subset,B41_Shira,5.1736722018949495,0,5.17
Bantu_subset,B42_Sangu_Mb,5.1736722018949495,0,5.17
Bantu_subset,B44_Lumbu,5.1736722018949495,0,5.17
Bantu_subset,B51_Duma,5.173672201894949,0,5.17
Bantu_subset,B51_Duma_La,5.173672201894949,0,5.17
Bantu_subset,B601_Lempini,5.1736722018949495,0,5.17
Bantu_subset,B701_Atsitsege,5.17367220189495,0,5.17
Bantu_subset,B71aIb_Teke_Ibali_Congo,5.17367220189495,0,5.17
Bantu_subset,B71a_Teke_Dj,5.1736722018949495,0,5.17
Bantu_subset,B85_Yanzi,5.1736722018949495,0,5.17
Bantu_subset,B85e_Mput,5.1736722018949495,0,5.17
Bantu_subset,B861_Ngul,5.173672201894949,0,5.17
Bantu_subset,B865_Nzadi,5.173672201894949,0,5.17
Bantu_subset,Bamun_Grassfields,5.1736722018949495,0,5.17
Bantu_subset,Bwazza_Jarawan,5.1736722018949495,0,5.17
Bantu_subset,C101_Babole_Dz,5.17367220189495,0,5.17
Bantu_subset,C104_Aka,5.17367220189495,0,5.17
Bantu_subset,C15_Bongili,5.1736722018949495,0,5.17
Bantu_subset,C21_Ngare,5.1736722018949495,0,5.17
Bantu_subset,C25B_Olee,5.173672201894949,0,5.17
Bantu_subset,C25_Mboshi,5.173672201894949,0,5.17
Bantu_subset,C37_Ebudza,5.173672201894949,0,5.17
Bantu_subset,C401_Babati_1919,5.1736722018949495,0,5.17
Bantu_subset,C41_Ngombe,5.173672201894949,0,5.17
Bantu_subset,C52_Soko,5.1736722018949495,0,5.17
Bantu_subset,C52_Soko_1919,5.1736722018949495,0,5.17
Bantu_subset,C61E_Konda,5.173672201894949,0,5.17
Bantu_subset,C83_Bushong,5.173672201894949,0,5.17
Bantu_subset,C85_Wongo,5.173672201894949,0,5.17
Bantu_subset,D11_Mbole,5.1736722018949495,0,5.17
Bantu_subset,D201_Liko,5.1736722018949495,0,5.17
Bantu_subset,D211_Kango,5.173672201894949,0,5.17
Bantu_subset,D313_Mbuttu_1919,5.1736722018949495,0,5.17
Bantu_subset,D32_Bira,5.173672201894949,0,5.17
Bantu_subset,D32_Bira_Bunia,5.1736722018949495,0,5.17
Bantu_subset,E46_Sonjo,5.17367220189495,0,5.17
Bantu_subset,F22_Nyamwezi,5.1736722018949495,0,5.17
Bantu_subset,F23_Sumbwa,5.1736722018949495,0,5.17
Bantu_subset,F24_Kimbu,5.1736722018949495,0,5.17
